project,neighbourhood,leads,registered_leads,subscribers,conversion_pct
Silver Towers,Hell's Kitchen Polygon,1101,248,123,11.2
River Place,Hell's Kitchen Polygon,792,185,87,11.0
Woodside Central,Floating NY 1,430,46,9,2.1
330W-56th,Hell's Kitchen Polygon,424,49,9,2.1
Gindi 3,Unknown,252,75,30,11.9
Gindi 1,Unknown,230,56,29,12.6
420 Kent Avenue,Williamsburg Polygon,220,83,26,11.8
Stonehill,Chatham / West Orange Polygon,203,53,17,8.4
Gindi 2,Unknown,200,49,20,10.0
20 Broad Street,Financial District Polygon,198,105,32,16.2
Midtown 5,Floating Miami,174,69,19,10.9
Brooklyn Crossing,Boerum Hill Polygon,165,61,29,17.6
Azrieli TLV,Unknown,160,40,29,18.1
The Eddy,Harrison Polygon,159,47,10,6.3
Alta,Floating NY 1,156,47,20,12.8
100 House,Hoboken Polygon,154,62,17,11.0
The Devan,Hoboken Polygon,150,61,23,15.3
300 Somerset,Harrison Polygon,148,57,14,9.5
Flamingo Point Center Tower,Miami Beach Polygon,148,84,36,24.3
One Ten,Hoboken Polygon,146,55,19,13.0
The Ivy,Chatham / West Orange Polygon,140,52,19,13.6
The Buchanan,Floating NY 1,128,38,18,14.1
2000 Biscayne,Edgeater Polygon,128,55,23,18.0
Flamingo Point North Tower,Miami Beach Polygon,127,61,30,23.6
Flow Brickell,Flow Brickell Polygon,125,24,8,6.4
Bay Parc Apartments,Edgeater Polygon,122,55,32,26.2
The Boulevard,Floating Miami,121,52,18,14.9
Southgate Towers,Miami Beach Polygon,121,56,8,6.6
330 Angelo Cifelli,Harrison Polygon,120,54,17,14.2
Oliver on the Hudson,Floating Jersey,120,51,15,12.5
The Enclave,Hoboken Polygon,105,38,10,9.5
345 Baldwin Avenue,Floating Jersey,97,26,10,10.3
Flamingo South Beach,Miami Beach Polygon,97,53,19,19.6
416 Kent Avenue,Williamsburg Polygon,96,41,10,10.4
Agnes,Floating Jersey,96,32,9,9.4
1 Boerum PL,Floating NY 2,94,44,15,16.0
The Dime,Williamsburg Polygon,88,38,13,14.8
John Street 116,Financial District Polygon,80,45,11,13.8
Gindi 4,Unknown,80,8,9,11.3
The Landon,Hell's Kitchen Polygon,78,42,8,10.3
Grove Central Residences,Floating Miami,72,28,6,8.3
The Addison,Brooklyn Heights Polygon,68,25,2,2.9
One Harrison,Harrison Polygon,68,27,8,11.8
655 Union,Boerum Hill Polygon,67,23,9,13.4
66 Rockwell Place,Brooklyn Heights Polygon,64,31,10,15.6
Livana East Hanover,Chatham / West Orange Polygon,63,19,7,11.1
The Vitagraph,Floating NY 2,60,36,0,0.0
Nine 52,Hell's Kitchen Polygon,56,20,8,14.3
The Kestrel,Floating NY 2,56,31,4,7.1
Watermarc at Biscayne Bay,Edgeater Polygon,54,18,6,11.1
Plank Road,Boerum Hill Polygon,53,17,2,3.8
250 E Houston,Floating NY 2,51,18,6,11.8
